predictor,score_function,coverage_rate,average_size
SplitPredictor,THR,0.9005,1.181375
ClusterPredictor,THR,0.900125,1.179125
ClassWisePredictor,THR,0.90325,1.205125
SplitPredictor,APS,0.900375,1.357875
ClusterPredictor,APS,0.902,1.352125
ClassWisePredictor,APS,0.903125,1.40425
SplitPredictor,SAPS(weight=0.2),0.900756,1.338
ClusterPredictor,SAPS(weight=0.2),0.9005,1.33825
ClassWisePredictor,SAPS(weight=0.2),0.904375,1.501125
SplitPredictor,"RAPS(1,0)",0.900375,1.205625
ClusterPredictor,"RAPS(1,0)",0.8975,1.20325
ClassWisePredictor,"RAPS(1,0)",0.89875,1.458
